rep_id,rep_name,territory_id,region,hcp_id,product,call_date,call_outcome,prescription_volume,target_volume
R002,Jordan Kapoor,N02,North,H-N02-026,Cardiavex,2026-03-01,Rescheduled,1.8,75.3
R010,Omar Cole,W01,West,H-W01-023,Cardiavex,2026-03-01,Sample Drop,15.5,502.4
R010,Omar Cole,W01,West,H-W01-019,Glucanorm,2026-03-01,Discussion Completed,9.9,502.4
R011,Lee Park,W02,West,H-W02-014,Cardiavex,2026-03-01,Rescheduled,3.1,50.5
R001,Alex Reed,N01,North,H-N01-019,Cardiavex,2026-03-02,No Show,2.4,81.1
R002,Jordan Kapoor,N02,North,H-N02-026,Respiraline,2026-03-02,Rescheduled,4.0,75.3
R003,Priya Chen,N03,North,H-N03-023,Glucanorm,2026-03-02,Rescheduled,3.0,137.2
R003,Priya Chen,N03,North,H-N03-028,Cardiavex,2026-03-02,Sample Drop,14.7,137.2
R003,Priya Chen,N03,North,H-N03-035,Cardiavex,2026-03-02,Sample Drop,16.1,137.2
R004,Sam Ortiz,S01,South,H-S01-001,Glucanorm,2026-03-02,Completed,6.3,73.8
R004,Sam Ortiz,S01,South,H-S01-029,Respiraline,2026-03-02,Discussion Completed,7.8,73.8
R005,Morgan Novak,S02,South,H-S02-028,Respiraline,2026-03-02,No Show,1.2,104.6
R006,Taylor Singh,S03,South,H-S03-026,Cardiavex,2026-03-02,Discussion Completed,17.8,171.4
R007,Chris Brooks,E01,East,H-E01-020,Glucanorm,2026-03-02,Rescheduled,2.1,141.4
R009,Nina Adeyemi,E03,East,H-E03-022,Glucanorm,2026-03-02,Rescheduled,2.1,253.3
R010,Omar Cole,W01,West,H-W01-013,Respiraline,2026-03-02,Rescheduled,2.6,502.4
R010,Omar Cole,W01,West,H-W01-005,Respiraline,2026-03-02,Sample Drop,9.1,502.4
R010,Omar Cole,W01,West,H-W01-003,Glucanorm,2026-03-02,Completed,20.7,502.4
R002,Jordan Kapoor,N02,North,H-N02-019,Respiraline,2026-03-03,Sample Drop,5.5,75.3
R003,Priya Chen,N03,North,H-N03-030,Cardiavex,2026-03-03,Completed,9.9,137.2
R003,Priya Chen,N03,North,H-N03-024,Respiraline,2026-03-03,Sample Drop,8.5,137.2
R005,Morgan Novak,S02,South,H-S02-026,Cardiavex,2026-03-03,Rescheduled,2.2,104.6
R008,Riley Fischer,E02,East,H-E02-011,Cardiavex,2026-03-03,Rescheduled,1.5,184.4
R009,Nina Adeyemi,E03,East,H-E03-026,Glucanorm,2026-03-03,Completed,6.4,253.3
R010,Omar Cole,W01,West,H-W01-011,Cardiavex,2026-03-03,Sample Drop,20.6,502.4
R010,Omar Cole,W01,West,H-W01-015,Glucanorm,2026-03-03,No Show,3.9,502.4
R010,Omar Cole,W01,West,H-W01-009,Cardiavex,2026-03-03,No Show,2.7,502.4
R011,Lee Park,W02,West,H-W02-018,Glucanorm,2026-03-03,Rescheduled,2.0,50.5
R001,Alex Reed,N01,North,H-N01-013,Glucanorm,2026-03-04,Rescheduled,2.4,81.1
R002,Jordan Kapoor,N02,North,H-N02-014,Glucanorm,2026-03-04,Rescheduled,1.2,75.3
R002,Jordan Kapoor,N02,North,H-N02-018,Glucanorm,2026-03-04,No Show,1.6,75.3
R006,Taylor Singh,S03,South,H-S03-007,Glucanorm,2026-03-04,Discussion Completed,15.7,171.4
R007,Chris Brooks,E01,East,H-E01-005,Respiraline,2026-03-04,Discussion Completed,13.9,141.4
R010,Omar Cole,W01,West,H-W01-038,Glucanorm,2026-03-04,Sample Drop,16.7,502.4
R010,Omar Cole,W01,West,H-W01-035,Glucanorm,2026-03-04,Completed,11.4,502.4
R001,Alex Reed,N01,North,H-N01-008,Cardiavex,2026-03-05,Rescheduled,2.2,81.1
R004,Sam Ortiz,S01,South,H-S01-014,Respiraline,2026-03-05,Completed,6.6,73.8
R005,Morgan Novak,S02,South,H-S02-018,Glucanorm,2026-03-05,No Show,1.4,104.6
R006,Taylor Singh,S03,South,H-S03-024,Cardiavex,2026-03-05,Completed,17.0,171.4
R008,Riley Fischer,E02,East,H-E02-032,Respiraline,2026-03-05,Discussion Completed,5.8,184.4
R008,Riley Fischer,E02,East,H-E02-036,Cardiavex,2026-03-05,Completed,7.4,184.4
R009,Nina Adeyemi,E03,East,H-E03-020,Respiraline,2026-03-05,Discussion Completed,9.6,253.3
R010,Omar Cole,W01,West,H-W01-026,Glucanorm,2026-03-05,Completed,12.3,502.4
R011,Lee Park,W02,West,H-W02-025,Respiraline,2026-03-05,Rescheduled,0.7,50.5
R011,Lee Park,W02,West,H-W02-014,Glucanorm,2026-03-05,No Show,2.2,50.5
R003,Priya Chen,N03,North,H-N03-021,Cardiavex,2026-03-06,Discussion Completed,11.3,137.2
R003,Priya Chen,N03,North,H-N03-026,Respiraline,2026-03-06,Rescheduled,1.4,137.2
R006,Taylor Singh,S03,South,H-S03-007,Respiraline,2026-03-06,No Show,2.1,171.4
R006,Taylor Singh,S03,South,H-S03-032,Glucanorm,2026-03-06,No Show,4.4,171.4
R008,Riley Fischer,E02,East,H-E02-043,Glucanorm,2026-03-06,Discussion Completed,6.8,184.4
R008,Riley Fischer,E02,East,H-E02-010,Respiraline,2026-03-06,Rescheduled,4.0,184.4
R011,Lee Park,W02,West,H-W02-029,Cardiavex,2026-03-06,Discussion Completed,2.5,50.5
R003,Priya Chen,N03,North,H-N03-021,Glucanorm,2026-03-07,No Show,2.6,137.2
R004,Sam Ortiz,S01,South,H-S01-031,Respiraline,2026-03-07,No Show,2.7,73.8
R006,Taylor Singh,S03,South,H-S03-012,Cardiavex,2026-03-07,No Show,1.4,171.4
R006,Taylor Singh,S03,South,H-S03-019,Cardiavex,2026-03-07,Discussion Completed,15.1,171.4
R008,Riley Fischer,E02,East,H-E02-030,Glucanorm,2026-03-07,Sample Drop,11.5,184.4
R009,Nina Adeyemi,E03,East,H-E03-019,Glucanorm,2026-03-07,Rescheduled,2.4,253.3
R010,Omar Cole,W01,West,H-W01-040,Glucanorm,2026-03-07,Sample Drop,17.8,502.4
R011,Lee Park,W02,West,H-W02-012,Glucanorm,2026-03-07,Completed,6.1,50.5
R001,Alex Reed,N01,North,H-N01-010,Cardiavex,2026-03-08,Rescheduled,1.3,81.1
R001,Alex Reed,N01,North,H-N01-012,Cardiavex,2026-03-08,No Show,2.1,81.1
R001,Alex Reed,N01,North,H-N01-026,Cardiavex,2026-03-08,No Show,0.9,81.1
R004,Sam Ortiz,S01,South,H-S01-020,Respiraline,2026-03-08,No Show,2.3,73.8
R004,Sam Ortiz,S01,South,H-S01-008,Respiraline,2026-03-08,Sample Drop,3.0,73.8
R005,Morgan Novak,S02,South,H-S02-011,Cardiavex,2026-03-08,Sample Drop,11.2,104.6
R005,Morgan Novak,S02,South,H-S02-035,Cardiavex,2026-03-08,Rescheduled,3.2,104.6
R006,Taylor Singh,S03,South,H-S03-022,Glucanorm,2026-03-08,Rescheduled,3.2,171.4
R008,Riley Fischer,E02,East,H-E02-007,Respiraline,2026-03-08,Sample Drop,4.4,184.4
R008,Riley Fischer,E02,East,H-E02-008,Glucanorm,2026-03-08,Rescheduled,4.2,184.4
R002,Jordan Kapoor,N02,North,H-N02-025,Cardiavex,2026-03-09,Completed,5.9,75.3
R002,Jordan Kapoor,N02,North,H-N02-020,Respiraline,2026-03-09,Rescheduled,4.0,75.3
R004,Sam Ortiz,S01,South,H-S01-015,Cardiavex,2026-03-09,Discussion Completed,2.6,73.8
R005,Morgan Novak,S02,South,H-S02-023,Respiraline,2026-03-09,No Show,4.1,104.6
R005,Morgan Novak,S02,South,H-S02-032,Glucanorm,2026-03-09,Sample Drop,3.7,104.6
R006,Taylor Singh,S03,South,H-S03-027,Respiraline,2026-03-09,Rescheduled,1.6,171.4
R008,Riley Fischer,E02,East,H-E02-017,Cardiavex,2026-03-09,No Show,3.4,184.4
R010,Omar Cole,W01,West,H-W01-007,Glucanorm,2026-03-09,Discussion Completed,18.8,502.4
R003,Priya Chen,N03,North,H-N03-005,Glucanorm,2026-03-10,Completed,14.4,137.2
R004,Sam Ortiz,S01,South,H-S01-028,Cardiavex,2026-03-10,No Show,2.9,73.8
R006,Taylor Singh,S03,South,H-S03-029,Glucanorm,2026-03-10,Rescheduled,1.9,171.4
R006,Taylor Singh,S03,South,H-S03-009,Respiraline,2026-03-10,Rescheduled,4.3,171.4
R008,Riley Fischer,E02,East,H-E02-015,Respiraline,2026-03-10,Rescheduled,3.9,184.4
R010,Omar Cole,W01,West,H-W01-010,Cardiavex,2026-03-10,Discussion Completed,19.5,502.4
R010,Omar Cole,W01,West,H-W01-002,Respiraline,2026-03-10,Rescheduled,3.3,502.4
R001,Alex Reed,N01,North,H-N01-027,Cardiavex,2026-03-11,Rescheduled,1.3,81.1
R001,Alex Reed,N01,North,H-N01-030,Cardiavex,2026-03-11,Sample Drop,6.4,81.1
R003,Priya Chen,N03,North,H-N03-003,Glucanorm,2026-03-11,Discussion Completed,15.6,137.2
R003,Priya Chen,N03,North,H-N03-007,Respiraline,2026-03-11,No Show,2.5,137.2
R005,Morgan Novak,S02,South,H-S02-002,Cardiavex,2026-03-11,Rescheduled,2.7,104.6
R005,Morgan Novak,S02,South,H-S02-019,Cardiavex,2026-03-11,No Show,1.0,104.6
R006,Taylor Singh,S03,South,H-S03-005,Respiraline,2026-03-11,No Show,2.8,171.4
R006,Taylor Singh,S03,South,H-S03-022,Glucanorm,2026-03-11,Discussion Completed,11.5,171.4
R008,Riley Fischer,E02,East,H-E02-025,Cardiavex,2026-03-11,Rescheduled,1.5,184.4
R008,Riley Fischer,E02,East,H-E02-018,Cardiavex,2026-03-11,No Show,2.3,184.4
R010,Omar Cole,W01,West,H-W01-024,Cardiavex,2026-03-11,Completed,8.9,502.4
R010,Omar Cole,W01,West,H-W01-041,Glucanorm,2026-03-11,No Show,5.0,502.4
R010,Omar Cole,W01,West,H-W01-031,Glucanorm,2026-03-11,Rescheduled,2.1,502.4
