rep_id,rep_name,territory_id,region,hcp_id
R001,Alex Reed,N01,North,H-N01-001
R001,Alex Reed,N01,North,H-N01-002
R001,Alex Reed,N01,North,H-N01-003
R001,Alex Reed,N01,North,H-N01-004
R001,Alex Reed,N01,North,H-N01-005
R001,Alex Reed,N01,North,H-N01-006
R001,Alex Reed,N01,North,H-N01-007
R001,Alex Reed,N01,North,H-N01-008
R001,Alex Reed,N01,North,H-N01-009
R001,Alex Reed,N01,North,H-N01-010
R001,Alex Reed,N01,North,H-N01-011
R001,Alex Reed,N01,North,H-N01-012
R001,Alex Reed,N01,North,H-N01-013
R001,Alex Reed,N01,North,H-N01-014
R001,Alex Reed,N01,North,H-N01-015
R001,Alex Reed,N01,North,H-N01-016
R001,Alex Reed,N01,North,H-N01-017
R001,Alex Reed,N01,North,H-N01-018
R001,Alex Reed,N01,North,H-N01-019
R001,Alex Reed,N01,North,H-N01-020
R001,Alex Reed,N01,North,H-N01-021
R001,Alex Reed,N01,North,H-N01-022
R001,Alex Reed,N01,North,H-N01-023
R001,Alex Reed,N01,North,H-N01-024
R001,Alex Reed,N01,North,H-N01-025
R001,Alex Reed,N01,North,H-N01-026
R001,Alex Reed,N01,North,H-N01-027
R001,Alex Reed,N01,North,H-N01-028
R001,Alex Reed,N01,North,H-N01-029
R001,Alex Reed,N01,North,H-N01-030
R001,Alex Reed,N01,North,H-N01-031
R002,Jordan Kapoor,N02,North,H-N02-001
R002,Jordan Kapoor,N02,North,H-N02-002
R002,Jordan Kapoor,N02,North,H-N02-003
R002,Jordan Kapoor,N02,North,H-N02-004
R002,Jordan Kapoor,N02,North,H-N02-005
R002,Jordan Kapoor,N02,North,H-N02-006
R002,Jordan Kapoor,N02,North,H-N02-007
R002,Jordan Kapoor,N02,North,H-N02-008
R002,Jordan Kapoor,N02,North,H-N02-009
R002,Jordan Kapoor,N02,North,H-N02-010
R002,Jordan Kapoor,N02,North,H-N02-011
R002,Jordan Kapoor,N02,North,H-N02-012
R002,Jordan Kapoor,N02,North,H-N02-013
R002,Jordan Kapoor,N02,North,H-N02-014
R002,Jordan Kapoor,N02,North,H-N02-015
R002,Jordan Kapoor,N02,North,H-N02-016
R002,Jordan Kapoor,N02,North,H-N02-017
R002,Jordan Kapoor,N02,North,H-N02-018
R002,Jordan Kapoor,N02,North,H-N02-019
R002,Jordan Kapoor,N02,North,H-N02-020
R002,Jordan Kapoor,N02,North,H-N02-021
R002,Jordan Kapoor,N02,North,H-N02-022
R002,Jordan Kapoor,N02,North,H-N02-023
R002,Jordan Kapoor,N02,North,H-N02-024
R002,Jordan Kapoor,N02,North,H-N02-025
R002,Jordan Kapoor,N02,North,H-N02-026
R002,Jordan Kapoor,N02,North,H-N02-027
R002,Jordan Kapoor,N02,North,H-N02-028
R003,Priya Chen,N03,North,H-N03-001
R003,Priya Chen,N03,North,H-N03-002
R003,Priya Chen,N03,North,H-N03-003
R003,Priya Chen,N03,North,H-N03-004
R003,Priya Chen,N03,North,H-N03-005
R003,Priya Chen,N03,North,H-N03-006
R003,Priya Chen,N03,North,H-N03-007
R003,Priya Chen,N03,North,H-N03-008
R003,Priya Chen,N03,North,H-N03-009
R003,Priya Chen,N03,North,H-N03-010
R003,Priya Chen,N03,North,H-N03-011
R003,Priya Chen,N03,North,H-N03-012
R003,Priya Chen,N03,North,H-N03-013
R003,Priya Chen,N03,North,H-N03-014
R003,Priya Chen,N03,North,H-N03-015
R003,Priya Chen,N03,North,H-N03-016
R003,Priya Chen,N03,North,H-N03-017
R003,Priya Chen,N03,North,H-N03-018
R003,Priya Chen,N03,North,H-N03-019
R003,Priya Chen,N03,North,H-N03-020
R003,Priya Chen,N03,North,H-N03-021
R003,Priya Chen,N03,North,H-N03-022
R003,Priya Chen,N03,North,H-N03-023
R003,Priya Chen,N03,North,H-N03-024
R003,Priya Chen,N03,North,H-N03-025
R003,Priya Chen,N03,North,H-N03-026
R003,Priya Chen,N03,North,H-N03-027
R003,Priya Chen,N03,North,H-N03-028
R003,Priya Chen,N03,North,H-N03-029
R003,Priya Chen,N03,North,H-N03-030
R003,Priya Chen,N03,North,H-N03-031
R003,Priya Chen,N03,North,H-N03-032
R003,Priya Chen,N03,North,H-N03-033
R003,Priya Chen,N03,North,H-N03-034
R003,Priya Chen,N03,North,H-N03-035
R003,Priya Chen,N03,North,H-N03-036
R004,Sam Ortiz,S01,South,H-S01-001
R004,Sam Ortiz,S01,South,H-S01-002
R004,Sam Ortiz,S01,South,H-S01-003
R004,Sam Ortiz,S01,South,H-S01-004
R004,Sam Ortiz,S01,South,H-S01-005
R004,Sam Ortiz,S01,South,H-S01-006
R004,Sam Ortiz,S01,South,H-S01-007
R004,Sam Ortiz,S01,South,H-S01-008
R004,Sam Ortiz,S01,South,H-S01-009
R004,Sam Ortiz,S01,South,H-S01-010
R004,Sam Ortiz,S01,South,H-S01-011
R004,Sam Ortiz,S01,South,H-S01-012
R004,Sam Ortiz,S01,South,H-S01-013
R004,Sam Ortiz,S01,South,H-S01-014
R004,Sam Ortiz,S01,South,H-S01-015
R004,Sam Ortiz,S01,South,H-S01-016
R004,Sam Ortiz,S01,South,H-S01-017
